phenotype,code,term,terminology,organisation,codelist_id,id,version
long_covid,1325031000000108,Referral to post-COVID assessment clinic,SNOMED CT,OpenSAFELY,opensafely/referral-and-signposting-for-long-covid,12d06dc0,12d06dc0
long_covid,1325051000000101,Newcastle post-COVID syndrome Follow-up Screening Questionnaire,SNOMED CT,OpenSAFELY,opensafely/assessment-instruments-and-outcome-measures-for-long-covid,79c0fa8a,79c0fa8a
long_covid,1325081000000107,Assessment using COVID-19 Yorkshire Rehabilitation Screening tool,SNOMED CT,OpenSAFELY,opensafely/assessment-instruments-and-outcome-measures-for-long-covid,79c0fa8a,79c0fa8a
long_covid,1325161000000102,Post-COVID-19 syndrome,SNOMED CT,OpenSAFELY,opensafely/nice-managing-the-long-term-effects-of-covid-19,64f1ae69,64f1ae69
long_covid,1325041000000104,Referral to Your COVID Recovery rehabilitation platform,SNOMED CT,OpenSAFELY,opensafely/referral-and-signposting-for-long-covid,12d06dc0,12d06dc0
long_covid,1325101000000101,Assessment using Post-COVID-19 Functional Status Scale patient self-report,SNOMED CT,OpenSAFELY,opensafely/assessment-instruments-and-outcome-measures-for-long-covid,79c0fa8a,79c0fa8a
long_covid,1325121000000105,Post-COVID-19 Functional Status Scale patient self-report final scale grade,SNOMED CT,OpenSAFELY,opensafely/assessment-instruments-and-outcome-measures-for-long-covid,79c0fa8a,79c0fa8a
long_covid,1325141000000103,Assessment using Post-COVID-19 Functional Status Scale structured interview,SNOMED CT,OpenSAFELY,opensafely/assessment-instruments-and-outcome-measures-for-long-covid,79c0fa8a,79c0fa8a
long_covid,1325151000000100,Post-COVID-19 Functional Status Scale structured interview,SNOMED CT,OpenSAFELY,opensafely/assessment-instruments-and-outcome-measures-for-long-covid,79c0fa8a,79c0fa8a
long_covid,1325021000000106,Signposting to Your COVID Recovery,SNOMED CT,OpenSAFELY,opensafely/referral-and-signposting-for-long-covid,12d06dc0,12d06dc0
long_covid,1325181000000106,Ongoing symptomatic disease caused by severe acute respiratory syndrome coronavirus 2,SNOMED CT,OpenSAFELY,opensafely/nice-managing-the-long-term-effects-of-covid-19,64f1ae69,64f1ae69
long_covid,1325071000000105,COVID-19 Yorkshire Rehabilitation Screening tool,SNOMED CT,OpenSAFELY,opensafely/assessment-instruments-and-outcome-measures-for-long-covid,79c0fa8a,79c0fa8a
long_covid,1325061000000103,Assessment using Newcastle post-COVID syndrome Follow-up Screening Questionnaire,SNOMED CT,OpenSAFELY,opensafely/assessment-instruments-and-outcome-measures-for-long-covid,79c0fa8a,79c0fa8a
long_covid,1325131000000107,Post-COVID-19 Functional Status Scale structured interview final scale grade,SNOMED CT,OpenSAFELY,opensafely/assessment-instruments-and-outcome-measures-for-long-covid,79c0fa8a,79c0fa8a
long_covid,1325091000000109,Post-COVID-19 Functional Status Scale patient self-report,SNOMED CT,OpenSAFELY,opensafely/assessment-instruments-and-outcome-measures-for-long-covid,79c0fa8a,79c0fa8a
